"Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"study","NR vs prospective",-0.53035296533313,-2.56791769471102,1.55989911398367,FALSE,0.558,-0.63930282820178,-3.37180856303448,2.18166613719459,FALSE,0.641
"study","retrospective vs prospective",-0.442128386192175,-1.24666168852855,0.399470662023713,FALSE,0.263,0.753875060959999,-0.216049476968862,1.68532114670927,FALSE,0.105
"study_design","cohort vs cross-sectional",-0.124054588105439,-1.55901834244412,1.19092305472546,FALSE,0.872,0.634591513307491,-1.17028542546746,2.53333509345845,FALSE,0.479
"study_design","RCT vs cross-sectional",0.484340911350349,-1.56812065835051,2.51995937874649,FALSE,0.621,-0.41201445225289,-3.13807365042297,2.3365314669296,FALSE,0.741
"multicenter","NR vs no",-0.322798654572009,-2.5517557301409,1.94106190008579,FALSE,0.773,-0.355638832589063,-3.07023302495252,2.34228056099775,FALSE,0.802
"multicenter","yes vs no",0.0781508405767908,-1.13611267116907,1.24540703390352,FALSE,0.875,1.09436950517793,-0.375599662106907,2.61542713325243,FALSE,0.143
"economic","middle vs high",0.590888760466205,-0.224631220287995,1.44277284131173,FALSE,0.177,-0.771920271048058,-1.73334255109683,0.235687763576915,FALSE,0.128
"economic","mixed vs high",-1.2931980323824,-3.24605556438553,0.5320305684784,FALSE,0.18,0.238988172213664,-2.63982459228181,3.07154873133982,FALSE,0.876
"healthcare","mixed vs primary",-0.355035405604885,-2.18061903069605,1.45886779776654,FALSE,0.671,1.01421257451402,-1.90842352979149,4.10079913692289,FALSE,0.486
"healthcare","NR vs primary",-0.234653875170255,-2.15494232730828,1.83889919140583,FALSE,0.802,-0.8891029589945,-3.75549978777654,2.0684387989723,FALSE,0.541
"healthcare","public dataset vs primary",-1.21876873646609,-3.23567579950698,0.759782818183514,FALSE,0.207,0.301295548314741,-2.76253177359263,3.16723521252573,FALSE,0.817
"healthcare","tertiary vs primary",1.04049386945458,-0.10494254410821,2.15962078244814,FALSE,0.07,-0.438451161146651,-2.4365752881198,1.65477678916902,FALSE,0.627
"external","NR vs no",-0.469897150420487,-2.55349950285797,1.6420230918813,FALSE,0.652,-0.735432638755099,-3.49439756073757,2.13203598021038,FALSE,0.575
"external","yes vs no",-0.424669243053869,-1.97404996748533,1.19891114607996,FALSE,0.555,0.850804885703351,-1.23270678631402,2.987752583426,FALSE,0.416
"dr","any dr vs rdr",-0.626471290863694,-1.9048519321926,0.634754483350051,FALSE,0.308,-0.392228752809074,-2.08731224047423,1.38492036392,FALSE,0.628
"dr","vtdr vs rdr",-0.364986888990613,-1.13084363129949,0.369202915565652,FALSE,0.324,0.795337331126535,0.0522880643414442,1.58907426776812,TRUE,0.034
"othereyetarget","NR vs no",-0.191351272178154,-2.33178172160237,1.87548129798789,FALSE,0.857,-0.382229574851195,-2.78245189813056,2.20432770081126,FALSE,0.758
"othereyetarget","yes vs no",0.378826543246104,-0.817285474948165,1.5938612952919,FALSE,0.516,1.42575850345703,-0.0915088950969966,2.84872382127817,FALSE,0.06
"pupil","mixed vs non-mydriatic",-0.724474302418692,-2.06370722851632,0.693078282876564,FALSE,0.283,0.868291414256396,-0.826529496917378,2.59264654683958,FALSE,0.282
"pupil","mydriatic vs non-mydriatic",0.485089397660816,-1.60941163295199,2.57004705411984,FALSE,0.611,-1.90582158610649,-4.27145617205208,0.721931054342754,FALSE,0.153
"pupil","NR vs non-mydriatic",-0.0208418192429725,-1.6321248650126,1.64073770297704,FALSE,0.969,-0.822418264509466,-2.66149034372608,1.1598266592685,FALSE,0.376
"ctype","mixed vs desktop",-1.33660159454471,-3.33948720172178,0.600353270026182,FALSE,0.176,0.209115001850038,-2.35770825467941,2.87807970292216,FALSE,0.886
"ctype","smartphone vs desktop",0.623137071419693,-1.25100224282464,2.44998375418016,FALSE,0.489,-1.97397210368357,-4.59580580043438,0.782702750824054,FALSE,0.134
"camera","multiple vs single",0.115990787933492,-1.3285731903656,1.52886797770868,FALSE,0.841,1.41003557488659,-0.348186821350947,3.1777912212847,FALSE,0.106
"camera","NR vs single",0.0199889473109849,-1.66387565236363,1.72195381187723,FALSE,0.964,0.024600209054544,-1.93510290804829,1.95056859529729,FALSE,0.983
"criteria","etdrs vs multiple",0.935371720311085,-1.35539520826263,3.12144635925867,FALSE,0.374,-2.06605156727529,-4.98111127114616,1.10150035856543,FALSE,0.16
"criteria","icdr vs multiple",0.695697378889968,-0.904209658325307,2.2629894002941,FALSE,0.34,-0.117663721053941,-1.98934072551234,1.99701374493229,FALSE,0.852
"criteria","NR vs multiple",-0.025634734025382,-2.25892761896548,2.28051913350927,FALSE,0.958,-1.08895603579935,-3.8314528483826,2.00201534362058,FALSE,0.449
"criteria","other vs multiple",-0.129456255858211,-1.83416063821347,1.58676984950185,FALSE,0.881,-0.023710700105685,-2.16279015446602,2.23930416807126,FALSE,0.95
"analysis_type","hybrid vs PP",-0.874598060544828,-2.76258900514292,1.06886187022011,FALSE,0.317,1.27861094181581,-1.28193466178829,3.94747639818533,FALSE,0.338
"analysis_type","ITT vs PP",-0.121521428188105,-1.00691597045535,0.715344943562212,FALSE,0.786,-0.317685379401463,-1.29360149581884,0.671901441025278,FALSE,0.541
"analysis_type","NR vs PP",-0.522362172592667,-2.71459687078102,1.63914856890763,FALSE,0.598,-0.812487104596856,-3.54988071463865,1.92290070644666,FALSE,0.557
"rstandard","arbitrated panel vs expert panel",-0.305470334877469,-2.43217354866276,1.748000985234,FALSE,0.735,-0.756825094489916,-3.44049399861195,2.13130304621501,FALSE,0.562
"rstandard","clinical exam vs expert panel",0.596802839383987,-0.91900090624539,2.16977386084549,FALSE,0.401,-0.807031366761006,-2.84775809061197,1.28139701433034,FALSE,0.419
"rstandard","dataset labels vs expert panel",-1.22676328709853,-3.25264611089701,0.98653509528483,FALSE,0.246,0.426245954327067,-2.48392512502313,3.21022532963608,FALSE,0.741
"rstandard","reading center vs expert panel",0.58597991271436,-0.928881747798144,2.214167575057,FALSE,0.423,1.33095847188861,-0.821608467234922,3.28296474379314,FALSE,0.196
"disagree","no vs yes",0.0467708173320757,-1.12209237954533,1.2782496806029,FALSE,0.962,0.226951977487044,-1.35005522202119,1.87839088226371,FALSE,0.774
"disagree","NR vs yes",-0.362256142410335,-2.50640502335497,1.87497743475271,FALSE,0.738,-0.740826965305602,-3.43987350785837,2.17501963172774,FALSE,0.611
"rimage","NR vs fundus",-1.37545662915369,-3.01903787986058,0.0690014288907816,FALSE,0.064,0.706263969202113,-1.52454641091937,3.1074454213071,FALSE,0.531
"field",">2 vs 2",0.243582404996256,-1.42538217786936,1.88685760623978,FALSE,0.736,-1.40525962706556,-3.63304407640097,0.917274126592234,FALSE,0.208
"field","1 vs 2",0.960973611920056,-0.277878445356315,2.17256355738936,FALSE,0.127,-0.463273703645985,-2.14995768762348,1.21935541001827,FALSE,0.554
"field","NR vs 2",0.0748457334758526,-1.95419024312237,2.2020748641826,FALSE,0.935,-1.30229302919074,-4.10796719873668,1.49020607707672,FALSE,0.381
"vendor","no vs yes",-0.619875483654301,-1.90506642148017,0.737224167965309,FALSE,0.319,-0.153474768872742,-1.97016155122884,1.65149646819118,FALSE,0.874
"vendor","NR vs yes",-0.498593765808317,-2.50086828849819,1.54343663694011,FALSE,0.609,-0.854394624717869,-3.68953493527549,2.17442325624207,FALSE,0.525
"commercial","no vs yes",-0.447560865775877,-1.235405304548,0.34309775514703,FALSE,0.267,0.821433911892761,-0.0719684741827992,1.72642993184082,FALSE,0.073
"commercial","NR vs yes",-0.512325871428235,-2.45316438066719,1.52668776141857,FALSE,0.592,-0.604519833136168,-3.34252076508162,2.26673362849488,FALSE,0.669
"certified","no vs yes",0.0334219710899984,-1.16503040131134,1.22489279676148,FALSE,0.964,0.767798596344609,-0.866143239642025,2.46941616201789,FALSE,0.319
"certified","NR vs yes",-0.356714471281571,-2.59907572431667,1.86955536507198,FALSE,0.718,-0.53579935530807,-3.30915358194756,2.29734459113476,FALSE,0.69
