"Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"economic","middle vs high",0.870028885080008,-0.0759058504916313,1.78972794819162,FALSE,0.0665,-1.42264544729338,-3.3624675901011,0.245473501568055,FALSE,0.1
"economic","mixed vs high",-3.34957617113038,-4.79804462813994,-1.95355780585132,TRUE,0,1.77842505145817,-0.947205395481608,4.67313675582407,FALSE,0.1815
"healthcare","primary vs mixed",-2.11008394553957,-2.71974819948031,-1.49660776416098,TRUE,0,1.68935484592466,0.946366452638001,2.3716936430048,TRUE,0
"healthcare","public dataset vs mixed",0.859106975468491,-0.975405939607292,2.69610957773852,FALSE,0.347,-0.886342062340967,-3.96562412212857,2.35435380926936,FALSE,0.5615
"healthcare","tertiary vs mixed",-1.10332794022551,-1.88156581520447,-0.369294962392417,TRUE,0.0015,0.747947415347553,-0.425130818074032,2.05552925161554,FALSE,0.198
"dr","rdr vs any dr",-0.0295378333100339,-0.542141902754988,0.458252890364571,FALSE,0.9205,1.01325249516457,0.247613364525261,1.73499284939668,TRUE,0.0125
"dr","vtdr vs any dr",0.358564929347512,-0.272043926107217,0.984496079817685,FALSE,0.253,1.2517848590828,0.515631133396811,1.98299743477294,TRUE,0.001
"pupil","mydriatic vs mixed",2.34841532316651,0.934508522065701,3.84351346492658,TRUE,0.003,-0.854930498939593,-3.12975649654162,1.53990851267017,FALSE,0.4505
"pupil","non-mydriatic vs mixed",-0.871388279380506,-1.52010074260396,-0.217514530904208,TRUE,0.0115,0.192664764545869,-1.08196352951193,1.40784629962803,FALSE,0.7175
"pupil","NR vs mixed",-0.179416611242985,-1.33796031094741,0.970573863262186,FALSE,0.7715,-0.73913387093903,-2.67196787556083,1.20684427494273,FALSE,0.4335
"ctype","mixed vs desktop",-3.10304851058592,-4.56104277990775,-1.68110142768816,TRUE,0,1.42738770686712,-0.306003825883281,3.123302454469,FALSE,0.1015
"ctype","portable vs desktop",0.41470706483684,0.0552815646436167,0.77624339499941,TRUE,0.0275,-0.340103698548674,-0.796277916266267,0.120044700919423,FALSE,0.144
"ctype","smartphone vs desktop",-0.87279110260379,-4.84927859996815,3.1524345999208,FALSE,0.658,-1.77948750929508,-6.35749283856793,2.88696245612529,FALSE,0.449
"camera","NR vs multiple",-0.398447602190839,-1.4486890600391,0.686442597243989,FALSE,0.4655,-0.0403623992996468,-2.00998368449498,1.73843899888966,FALSE,0.995
"camera","single vs multiple",0.70643255842715,0.0188953130860772,1.37531791268118,TRUE,0.047,0.392358946833278,-0.983527498682887,1.79766097385365,FALSE,0.5605
"criteria","icdr vs etdrs",0.651610593103062,-2.89440342966545,4.23138157863386,FALSE,0.7185,1.91000438044728,-1.80086675476407,5.63661948142336,FALSE,0.3235
"criteria","other vs etdrs",1.18138363805317,-2.50795668214153,4.82624693828633,FALSE,0.538,2.40356825957552,-1.70698006163635,6.4815941066148,FALSE,0.2505
"disagree","yes vs no",0.731187782132045,0.0632725055410595,1.43804017087066,TRUE,0.033,0.634880105221597,-0.650278363964924,2.04283708206985,FALSE,0.3275
"field","1 vs >2",1.18417234620748,0.0655463123164053,2.29373282243382,TRUE,0.0385,-0.169023312253221,-2.14650310770334,2.04961370050683,FALSE,0.8375
"field","2 vs >2",1.98076719414328,0.471757733388504,3.47033106238177,TRUE,0.0115,0.0723258994538609,-2.4471282789857,2.81878389617966,FALSE,0.99
"field","NR vs >2",0.712049739387342,-1.09721045080803,2.57480353651205,FALSE,0.448,1.30394064849276,-1.8777950943094,4.4143423142828,FALSE,0.3865
"commercial","yes vs no",0.172541449711698,-0.458291621905251,0.77033180845155,FALSE,0.553,0.0336131761676733,-1.20970359519915,1.08394114871968,FALSE,0.9035
"region","asia vs america",0.553506584600224,-0.619260238514835,1.72086040099531,FALSE,0.3445,-0.103621285092348,-2.10293837800557,2.05711571856713,FALSE,0.9045
"region","europe vs america",0.667321987465834,-0.332931737730086,1.62817709456251,FALSE,0.184,-1.24437930010607,-2.52499757497891,0.0948649870991232,FALSE,0.0715
"region","mixed vs america",1.49711198491065,0.154607099875738,2.82029610179765,TRUE,0.032,-2.69701429861453,-4.87912085840333,-0.473585577192605,TRUE,0.0225
